Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
AUDI,"Audi A4 Saloon (Standard, SE, Sport & Quattro)",1.8 SE (125 bhp),A4,1781,Petrol,11.8,7.0,8.8,23.9,40.4,32.1,210,680,III,69.0,0.988,0.000,0.178,0.120,0.000
AUDI,"Audi A4 Saloon (Standard, SE, Sport & Quattro)",2.5 V6 TDI SE (150 bhp),FM6,2496,Diesel,9.8,5.3,6.9,28.8,53.3,40.9,186,547,III,73.0,0.308,0.406,0.000,0.319,0.031
AUDI,"Audi A4 Saloon (Standard, SE, Sport & Quattro)",2.5 V6 TDI SE Tiptronic (150 bhp),FA5,2496,Diesel,11.0,6.0,7.8,25.7,47.1,36.2,211,618,III,73.0,0.155,0.471,0.000,0.428,0.032
AUDI,"Audi A4 Saloon (Standard, SE, Sport & Quattro)",2.5 V6 TDI Quattro (150 bhp),QM6,2496,Diesel,11.2,6.0,7.9,25.2,47.1,35.8,213,625,III,73.0,0.319,0.399,0.000,0.333,0.033
AUDI,"Audi A4 Saloon (Standard, SE, Sport & Quattro)",2.5 V6 TDI Quattro (150 bhp),QA5,2496,Diesel,12.1,6.6,8.6,23.3,42.8,32.8,232,682,III,72.0,0.247,0.469,0.000,0.422,0.037
AUDI,"Audi A4 Avant (Standard,  SE & Quattro)",1.9 TDI (90 bhp),FM5,1896,Diesel,7.0,4.4,5.4,40.4,64.2,52.3,145,428,III,72.0,0.135,0.432,0.000,0.387,0.031
AUDI,"Audi A4 Avant (Standard,  SE & Quattro)",1.9 TDI PD SE (115 bhp),FM5,1896,Diesel,7.3,4.4,5.4,38.7,64.2,52.3,146,428,III,72.0,0.183,0.454,0.000,0.428,0.031
AUDI,"Audi A4 Avant (Standard,  SE & Quattro)",1.9 TDI PD SE Tiptronic (115 bhp),FM5,1896,Diesel,7.4,4.5,5.5,38.2,62.8,51.4,149,435,III,72.0,0.183,0.454,0.000,0.428,0.031
AUDI,"Audi A4 Avant (Standard,  SE & Quattro)",1.8 20v SE,M5,1781,Petrol,12.1,6.5,8.5,23.3,43.5,33.2,204,657,III,73.0,0.912,0.000,0.158,0.108,0.000
AUDI,"Audi A4 Avant (Standard,  SE & Quattro)",1.8 20v SE,A4,1781,Petrol,11.8,7.0,8.8,23.9,40.4,32.1,210,680,III,69.0,0.988,0.000,0.178,0.120,0.000
AUDI,"Audi A4 Avant (Standard,  SE & Quattro)",2.5 V6 TDI SE (150 bhp),FM6,2496,Diesel,9.8,5.3,6.9,28.8,53.3,40.9,186,547,III,73.0,0.308,0.406,0.000,0.319,0.031
AUDI,"Audi A4 Avant (Standard,  SE & Quattro)",2.5 V6 TDI SE Tiptronic (150 bhp),FA5,2496,Diesel,11.0,6.0,7.8,25.7,47.1,36.2,211,618,III,73.0,0.155,0.471,0.000,0.428,0.032
AUDI,"Audi A4 Avant (Standard,  SE & Quattro)",2.5 V6 TDI Quattro (150 bhp),QM6,2496,Diesel,11.2,6.0,7.9,25.2,47.1,35.8,213,625,III,73.0,0.319,0.399,0.000,0.333,0.033
AUDI,"Audi A4 Avant (Standard,  SE & Quattro)",2.5 V6 TDI Quattro (150 bhp),QA5,2496,Diesel,12.1,6.6,8.6,23.3,42.8,32.8,232,682,III,72.0,0.247,0.469,0.000,0.422,0.037
AUDI,"A3 (5 door, SE, Sport & Sport Quattro)",1.9 TDI S & SE Models (90 bhp),M5,1896,Diesel,6.6,4.2,5.0,42.8,67.3,56.5,135,396,III,72.0,0.117,0.403,0.000,0.369,0.029
AUDI,"A3 (5 door, SE, Sport & Sport Quattro)","1.9 TDI S, SE & Sport Models (110 bhp)",M5,1896,Diesel,6.6,4.1,5.0,42.8,68.9,56.5,135,396,III,71.0,0.055,0.435,0.000,0.408,0.042
AUDI,"A3 (5 door, SE, Sport & Sport Quattro)","1.9 TDI S, SE & Sport Tiptronic Models (130 bhp)",A5,1896,Diesel,9.1,5.1,6.6,31.0,55.4,42.8,178,523,III,68.0,0.033,0.462,0.000,0.450,0.027
AUDI,"A3 (5 door, SE, Sport & Sport Quattro)","1.9 TDI S, SE & Sport Models (130 bhp)",M6,1896,Diesel,7.0,4.3,5.2,40.4,65.7,54.3,140,412,III,74.0,0.081,0.392,0.000,0.376,0.029
AUDI,"A3 (5 door, SE, Sport & Sport Quattro)",1.9 TDI Quattro Sport (130 bhp),QM6,1896,Diesel,8.1,5.2,6.3,34.9,54.3,44.8,170,499,III,75.0,0.158,0.432,0.000,0.406,0.036
