Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
RENAULT,Mégane Hatchback (all versions and trim levels),1.6 16V From VIN BA0B02,A4,1598,Petrol,10.3,5.6,7.3,27.4,50.4,38.7,175,529,III,69.5,0.835,,0.158,0.070,
RENAULT,Mégane Hatchback (all versions and trim levels),1.8 16V From VIN BA1A05,M5,1783,Petrol,10.2,6.2,7.7,27.7,45.6,36.7,180,557,III,70.8,0.528,,0.058,0.020,
RENAULT,Mégane Hatchback (all versions and trim levels),1.9 dTi (80 bhp) From VIN BA1U05,M5,1870,Diesel,7.2,4.5,5.5,39.2,62.8,51.4,145,414,III,72.5,0.191,0.310,,0.293,0.036
RENAULT,Mégane Hatchback (all versions and trim levels),1.9 dCi (105 bhp) From VIN BA0505,M5,1870,Diesel,6.8,4.4,5.2,41.5,64.2,54.3,139,392,III,70.2,0.488,0.415,,0.379,0.034
RENAULT,Mégane Coupé (all versions and trim levels),1.4 16V From VIN DA0D05,M5,1390,Petrol,9.4,5.4,6.8,30.1,52.3,41.5,163,493,III,71.4,0.215,,0.008,0.038,
RENAULT,Mégane Coupé (all versions and trim levels),1.6 16V From VIN DA0B05,M5,1598,Petrol,9.3,5.6,6.9,30.4,50.4,40.9,162,500,III,73.2,0.910,,0.115,0.029,
RENAULT,Mégane Coupé (all versions and trim levels),1.6 16V From VIN DA0B02,A4,1598,Petrol,10.1,5.4,7.1,28.0,52.3,39.8,170,514,III,69.5,0.835,,0.158,0.070,
RENAULT,Mégane Coupé (all versions and trim levels),2.0 ide 16V From VIN DA0P05,M5,1998,Petrol,10.2,6.0,7.5,27.7,47.1,37.7,177,543,III,74.0,0.114,,0.056,0.031,
RENAULT,Mégane Classic (all versions and trim levels),1.4 16V From VIN LA0D05,M5,1390,Petrol,9.5,5.5,6.9,29.7,51.4,40.9,165,500,III,71.4,0.215,,0.008,0.038,
RENAULT,Mégane Classic (all versions and trim levels),1.6 16V From VIN LA0B05,M5,1598,Petrol,9.4,5.7,7.0,30.1,49.6,40.4,165,506,III,73.2,0.910,,0.115,0.029,
RENAULT,Mégane Classic (all versions and trim levels),1.6 16V From VIN LA0B02,A4,1598,Petrol,10.3,5.6,7.3,27.4,50.4,38.7,175,529,III,69.5,0.835,,0.158,0.070,
RENAULT,Mégane Classic (all versions and trim levels),1.8 16V From VIN LA1A05,M5,1783,Petrol,10.2,6.2,7.7,27.7,45.6,36.7,180,557,III,70.8,0.528,,0.058,0.020,
RENAULT,Mégane Classic (all versions and trim levels),1.9 dTi (80 bhp) From VIN LA1U05,M5,1870,Diesel,7.2,4.5,5.5,39.2,62.8,51.4,145,414,III,72.5,0.191,0.310,,0.293,0.036
RENAULT,Mégane Classic (all versions and trim levels),1.9 dCi (105 bhp) From VIN LA0505,M5,1870,Diesel,6.8,4.4,5.2,41.5,64.2,54.3,139,392,III,70.2,0.488,0.415,,0.379,0.034
