Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
SKODA,Octavia Hatch, 2.0 Elegance & Ambiente Models (115 bhp),A4,1984,Petrol,12.7,6.9,9,22.2,40.9,31.4,216,695,IV,73,1.016,0,0.12,0.067,0
SKODA,Octavia Hatch, 1.8 Turbo Elegance L & K Models (150 bhp),A4,1781,Petrol,12.9,7,9.1,21.9,40.4,31,218,704,IV,71,0.775,0,0.051,0.026,0
SKODA,Octavia Hatch, 1.8 Turbo Elegance L & K Models (150 bhp),M5,1781,Petrol,10.8,6.3,8,26.2,44.8,35.3,192,618,IV,71,0.667,0,0.054,0.03,0
SKODA,Octavia Estate,1.6 MPI Ambiente & Classic Models (102 bhp),M5,1595,Petrol,10,5.8,7.3,28.2,48.7,38.7,175,564,IV,72,0.718,0,0.053,0.033,0
SKODA,Octavia Estate,2.0 Elegance & Ambiente Models (115 bhp),M5,1984,Petrol,11.3,6.2,8.1,25,45.6,34.9,194,625,IV,73,0.795,0,0.068,0.029,0
SKODA,Octavia Estate,2.0 Elegance & Ambiente Models (115 bhp),A4,1984,Petrol,12.7,6.9,9,22.2,40.9,31.4,216,695,IV,73,1.016,0,0.12,0.067,0
SKODA,Octavia Estate,1.8 Turbo Elegance L + K Models (150 bhp),A4,1781,Petrol,13,7.1,9.2,21.7,39.8,30.7,221,711,IV,71,0.775,0,0.051,0.026,0
SKODA,Octavia Estate,1.8 Turbo Elegance L + K Models (150 bhp),M5,1781,Petrol,10.8,6.3,8,26.2,44.8,35.3,192,618,IV,71,0.667,0,0.054,0.03,0
TOYOTA,Avensis,1.8 VVT-i 4 door,M5,1794,Petrol,9.9,6,7.4,28.5,47.1,38.2,172,571,IV,73,0.54,0,0.04,0.02,0
TOYOTA,Avensis,1.8 VVT-i 4 door CDX,M5,1794,Petrol,9.9,6,7.4,28.5,47.1,38.2,176,571,IV,73,0.54,0,0.04,0.02,0
TOYOTA,Avensis,1.8 VVT-i 5 door,M5,1794,Petrol,9.9,6,7.4,28.5,47.1,38.2,176,571,IV,73,0.54,0,0.04,0.02,0
TOYOTA,Avensis,1.8 VVT-i 4/5 door,A4,1794,Petrol,11,6.4,8.1,25.7,44.1,34.9,194,625,IV,71,0.39,0,0.06,0.01,0
TOYOTA,Avensis,1.8 VVT-i 5 door CDX,A4,1794,Petrol,11.2,6.5,8.3,25.2,43.5,34,197,642,IV,71,0.39,0,0.06,0.01,0
TOYOTA,Avensis,1.8 VVT-i Estate,M5,1794,Petrol,10,6.2,7.6,28.2,45.6,37.2,182,587,IV,73,0.54,0,0.04,0.02,0
VAUXHALL,"Agila, Model Year 2001",1.0 12v,M,973,Petrol,7.5,5.6,6.3,37.7,50.4,44.8,151,487,IV,72,0.403,0.115,0.064,0.051,0
VAUXHALL,"Agila, Model Year 2001",1.2 16v,M,1199,Petrol,8,5.7,6.5,35.3,49.6,43.5,156,502,IV,73,0.348,0.087,0.055,0.032,0
VAUXHALL,"Astra, Model Year 2001",1.6i Hatch/Saloon,M5,1598,Petrol,9.6,5.6,7.1,29.4,50.4,39.8,171,548,IV,72,0.695,0.073,0.054,0.019,0
VAUXHALL,"Astra, Model Year 2001",1.6i 3 Door Hatch,A4,1598,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,195,625,IV,71,0.357,0.073,0.044,0.029,0
VAUXHALL,"Astra, Model Year 2001",1.6i 5 Door Hatch/Saloon,A4,1598,Petrol,11.3,6.4,8.2,25,44.1,34.4,197,634,IV,71,0.357,0.073,0.044,0.029,0
VAUXHALL,"Astra, Model Year 2001",1.6i Estate,M5,1598,Petrol,9.8,5.8,7.3,28.8,48.7,38.7,175,564,IV,72,0.695,0.073,0.054,0.019,0
VAUXHALL,"Astra, Model Year 2001",1.6i Estate,A4,1598,Petrol,11.4,6.6,8.4,24.8,42.8,33.6,201,649,IV,71,0.357,0.073,0.044,0.029,0
VAUXHALL,"Astra, Model Year 2001",1.4i 16v Hatch,M5,1389,Petrol,9.7,5.8,7.2,29.1,48.7,39.2,173,557,IV,73,0.247,0.117,0.094,0.023,0
VAUXHALL,"Astra, Model Year 2001",1.4i 16v Estate,M5,1389,Petrol,9.9,6.1,7.5,28.5,46.3,37.7,180,579,IV,73,0.247,0.117,0.094,0.023,0
VAUXHALL,"Astra, Model Year 2001",1.6i 16v 3 Door Hatch,M5,1598,Petrol,9.5,5.5,7,29.7,51.4,40.4,168,540,IV,72,0.487,0.056,0.03,0.026,0
VAUXHALL,"Astra, Model Year 2001",1.6i 16v 5 Door Hatch/Saloon,M5,1598,Petrol,9.6,5.6,7.1,29.4,50.4,39.8,171,548,IV,72,0.695,0.073,0.054,0.019,0
VAUXHALL,"Astra, Model Year 2001",1.6i 16v Hatch/Saloon,A4,1598,Petrol,10.6,6,7.7,26.6,47.1,36.7,185,595,IV,72,0.318,0.085,0.044,0.041,0
VAUXHALL,"Astra, Model Year 2001",1.6i 16v Estate,M5,1598,Petrol,9.7,5.8,7.2,29.1,48.7,39.2,172,557,IV,72,0.219,0.063,0.037,0.026,0
VAUXHALL,"Astra, Model Year 2001",1.6i 16v Estate,A4,1598,Petrol,10.7,6.2,7.9,26.4,45.6,35.8,190,610,IV,72,0.318,0.085,0.044,0.041,0
VAUXHALL,"Astra, Model Year 2001",1.8i 16v Hatch/Saloon,M5,1796,Petrol,11,6,7.8,25.7,47.1,36.2,187,603,IV,73,0.627,0.043,0.035,0.008,0
VAUXHALL,"Astra, Model Year 2001",1.8i 16v Hatch/Saloon,A4,1796,Petrol,12,6.6,8.6,23.5,42.8,32.8,207,665,IV,71,0.486,0.05,0.037,0.013,0
VAUXHALL,"Astra, Model Year 2001",1.8i 16v Estate,M5,1796,Petrol,11.1,6.2,8,25.4,45.6,35.3,192,618,IV,73,0.627,0.043,0.035,0.008,0
VAUXHALL,"Astra, Model Year 2001",1.8i 16v Estate,A4,1796,Petrol,12.1,6.8,8.8,23.3,41.5,32.1,211,680,IV,71,0.486,0.05,0.037,0.013,0
VAUXHALL,"Astra, Model Year 2001",2.2i 16v Hatch,M5,2198,Petrol,12,6.3,8.4,23.5,44.8,33.6,202,649,IV,74,0.755,0.069,0.043,0.026,0
VAUXHALL,"Astra Coupé, Model Year 2001",1.8 16v,M5,1796,Petrol,11,6,7.8,25.7,47.1,36.2,187,603,IV,73,0.627,0.043,0.035,0.008,0
VAUXHALL,"Astra Coupé, Model Year 2001",2.0i 16v turbo,M5,1998,Petrol,12.5,6.8,8.9,22.6,41.5,31.7,214,688,IV,74,0.627,0.043,0.035,0.008,0
VAUXHALL,"Astra Coupé, Model Year 2001",2.2i 16v,M5,2198,Petrol,12,6.3,8.4,23.5,44.8,33.6,202,649,IV,74,0.755,0.069,0.043,0.026,0
VAUXHALL,"Astra Coupé, Model Year 2001",2.2i 16v,A4,2198,Petrol,11.9,6.7,8.6,23.7,42.2,32.8,207,665,IV,73,0.522,0.124,0.061,0.063,0
VAUXHALL,"Corsa, Model Year 2001",1.0 12v,M5,973,Petrol,7.2,4.7,5.6,39.2,60.1,50.4,135,433,IV,71,0.342,0.108,0.06,0.048,0
VAUXHALL,"Corsa, Model Year 2001",1.2i 16v,M5,1199,Petrol,8.2,5.2,6.3,34.4,54.3,44.8,151,487,IV,71,0.211,0.083,0.052,0.031,0
VAUXHALL,"Corsa, Model Year 2001",1.4 16v,M5,1389,Petrol,9.8,5.7,7.2,28.8,49.6,39.2,173,557,IV,72,0.371,0.071,0.045,0.026,0
VAUXHALL,"Corsa, Model Year 2001",1.4 16v 3 Door,A4,1389,Petrol,11.2,6,7.9,25.2,47.1,35.8,190,610,IV,72,0.287,0.122,0.065,0.057,0
VAUXHALL,"Corsa, Model Year 2001",1.4 16v 5 Door,A4,1389,Petrol,11.3,6.1,8,25,46.3,35.3,192,618,IV,72,0.287,0.122,0.065,0.057,0
VAUXHALL,"Vectra, Model Year 2001",1.6i 16v Hatch/Saloon,M5,1598,Petrol,9.8,5.6,7.1,28.8,50.4,39.8,171,548,IV,72,0.273,0.062,0.043,0.019,0
VAUXHALL,"Vectra, Model Year 2001",1.6i 16v Hatch/Saloon,A4,1598,Petrol,11.3,6.2,8.1,25,45.6,34.9,195,625,IV,71,0.418,0.104,0.038,0.066,0
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Hatch/Saloon (exc. SXi/SRi),M5,1798,Petrol,10.7,5.8,7.6,26.4,48.7,37.2,183,587,IV,72,0.784,0.074,0.063,0.011,0
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Hatch/Saloon SXi/SRi,M5,1798,Petrol,11,6,7.8,25.7,47.1,36.2,187,603,IV,72,0.503,0.047,0.035,0.012,0
