Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 200 CDI no DPF 205 Tyres at rear,M6,1992,Diesel,6.8,4.5,5.4,41.5,62.8,52.3,140,1179,73.0,0.339,,0.196,0.256,0.016,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 200 CDI no DPF 215 Tyres at rear,M6,1992,Diesel,7.1,4.6,5.6,39.8,61.4,50.4,148,1223,73.0,0.339,,0.196,0.256,0.016,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 200 CDI no DPF 205 Tyres at rear,CVT,1992,Diesel,7.6,5.0,6.0,37.2,56.5,47.1,159,1309,71.0,0.040,,0.217,0.228,0.023,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 200 CDI no DPF 215 Tyres on 17'' Wheels at rear,CVT,1992,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1352,71.0,0.040,,0.217,0.228,0.023,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 200 CDI no DPF 215 Tyres on 18'' Wheels at rear,CVT,1992,Diesel,8.0,5.3,6.3,35.3,53.3,44.8,165,1376,71.0,0.040,,0.217,0.228,0.023,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 200 CDI with DPF 205 Tyres at rear,M6,1992,Diesel,6.8,4.5,5.4,41.5,62.8,52.3,140,1179,73.0,0.259,,0.187,0.221,0.003,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 200 CDI with DPF 215 Tyres at rear,M6,1992,Diesel,7.1,4.6,5.6,39.8,61.4,50.4,148,1223,73.0,0.259,,0.187,0.221,0.003,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 200 CDI with DPF 205 Tyres at rear,CVT,1992,Diesel,7.6,5.0,6.0,37.2,56.5,47.1,159,1309,71.0,0.124,,0.223,0.238,0.003,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 200 CDI with DPF 215 Tyres on 17'' Wheels at rear,CVT,1992,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1352,71.0,0.124,,0.223,0.238,0.003,
MERCEDES-BENZ,B-Class (245) Saloon Model Year 2009,B 200 CDI with DPF 215 Tyres on 18'' Wheels at rear,CVT,1992,Diesel,8.0,5.3,6.3,35.3,53.3,44.8,165,1376,71.0,0.124,,0.223,0.238,0.003,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 180 CDI with 2055/55 16"" rear wheels",CVT,1991,Diesel,6.9,4.9,5.6,40.9,57.6,50.4,148,1223,71.0,0.068,,0.167,0.179,0.003,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 180 CDI with 2055/55 16"" rear wheels",M6,1991,Diesel,6.7,4.4,5.2,42.2,64.2,54.3,136,1135,72.0,0.249,,0.204,0.234,0.003,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 180 CDI with 2055/55 16"" rear wheels No DPF",CVT,1991,Diesel,6.9,4.9,5.6,40.9,57.6,50.4,148,1223,71.0,0.040,,0.216,0.228,0.020,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 180 CDI with 2055/55 16"" rear wheels No DPF",M6,1991,Diesel,6.7,4.4,5.2,42.2,64.2,54.3,136,1135,72.0,0.234,,0.190,0.234,0.019,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 180 CDI with 215/45 17"" or 215/40 18"" rear wheels",CVT,1991,Diesel,7.3,5.3,6.0,38.7,53.3,47.1,158,1309,71.0,0.068,,0.167,0.179,0.003,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 180 CDI with 215/45 17"" or 215/40 18"" rear wheels No DPF",CVT,1991,Diesel,7.3,5.3,6.0,38.7,53.3,47.1,158,1309,71.0,0.040,,0.216,0.228,0.020,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 180 CDI with 215/45 17"" or 215/40 18"" rear wheels No DPF",M6,1991,Diesel,6.7,4.5,5.3,42.2,62.8,53.3,139,1157,72.0,0.234,,0.190,0.234,0.019,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 200 CDI with 2055/55 16"" rear wheels",CVT,1991,Diesel,7.6,5.0,6.0,37.2,56.5,47.1,159,1309,71.0,0.124,,0.223,0.238,0.003,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 200 CDI with 2055/55 16"" rear wheels",M6,1991,Diesel,6.6,4.5,5.2,42.8,62.8,54.3,136,1135,72.0,0.259,,0.187,0.221,0.003,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 200 CDI with 2055/55 16"" rear wheels No DPF",CVT,1991,Diesel,7.6,5.0,6.0,37.2,56.5,47.1,159,1309,71.0,0.040,,0.217,0.228,0.023,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 200 CDI with 2055/55 16"" rear wheels No DPF",M6,1991,Diesel,6.6,4.5,5.2,42.8,62.8,54.3,136,1135,72.0,0.339,,0.196,0.256,0.016,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 200 CDI with 215/45 17"" or 215/40 18"" rear wheels",M6,1991,Diesel,6.6,4.6,5.3,42.8,61.4,53.3,139,1157,72.0,0.259,,0.187,0.221,0.003,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 200 CDI with 215/45 17"" or 215/40 18"" rear wheels No DPF",M6,1991,Diesel,6.6,4.6,5.3,42.8,61.4,53.3,148,1157,72.0,0.339,,0.196,0.256,0.016,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 200 CDI with 215/45 17"" rear wheels",CVT,1991,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1352,71.0,0.124,,0.223,0.238,0.003,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 200 CDI with 215/45 17"" rear wheels No DPF",CVT,1991,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1352,71.0,0.040,,0.217,0.228,0.023,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 200 CDI with 215/45 18"" rear wheels",CVT,1991,Diesel,8.0,5.3,6.3,35.3,53.3,44.8,165,1376,71.0,0.124,,0.223,0.238,0.003,
MERCEDES-BENZ,B-Class Saloon Model Year 2010,"B 200 CDI with 215/45 18"" rear wheels No DPF",CVT,1991,Diesel,8.0,5.3,6.3,35.3,53.3,44.8,165,1376,71.0,0.040,,0.217,0.228,0.023,
MERCEDES-BENZ,C-Class (204) Saloon Model Year 2009,C 200 CDI no DPF 195 Tyres at rear,M6,2148,Diesel,7.7,4.5,5.7,36.7,62.8,49.6,149,1243,74.0,0.082,,0.190,0.203,0.019,
MERCEDES-BENZ,C-Class (204) Saloon Model Year 2009,C 200 CDI no DPF 205 Tyres at rear,M6,2148,Diesel,7.9,4.7,5.9,35.8,60.1,47.9,156,1287,74.0,0.082,,0.190,0.203,0.019,
MERCEDES-BENZ,C-Class (204) Saloon Model Year 2009,C 200 CDI no DPF 225/245/255 Tyres at rear,M6,2148,Diesel,8.2,4.9,6.1,34.4,57.6,46.3,160,1331,74.0,0.082,,0.190,0.203,0.019,
MERCEDES-BENZ,C-Class (204) Saloon Model Year 2009,C 200 CDI no DPF 195 Tyres at rear,A5,2148,Diesel,9.0,5.0,6.5,31.4,56.5,43.5,171,1417,71.0,0.040,,0.193,0.205,0.021,
MERCEDES-BENZ,C-Class (204) Saloon Model Year 2009,C 200 CDI no DPF 205 Tyres at rear,A5,2148,Diesel,9.1,5.1,6.6,31.0,55.4,42.8,173,1440,71.0,0.040,,0.193,0.205,0.021,
MERCEDES-BENZ,C-Class (204) Saloon Model Year 2009,C 200 CDI no DPF 225/245/255 Tyres at rear,A5,2148,Diesel,9.2,5.3,6.7,30.7,53.3,42.2,177,1461,71.0,0.040,,0.193,0.205,0.021,
