Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
AUDI,A6 Avant  (SE &amp; Sport),2.7 V6 Turbo Quattro (250 PS) up to December 2002,QM6,2671,Petrol,16.8,9.0,11.8,16.8,31.4,23.9,283,822,III,73.0,0.7,,0.1,0.1,,23 May 2003,
AUDI,A6 Avant  (SE &amp; Sport),2.7 V6 Turbo Quattro Tiptronic (250 PS) up to December 2002,QA5,2671,Petrol,18.2,8.9,12.3,15.5,31.7,23.0,295,854,III,73.0,0.9,,0.1,0.1,,23 May 2003,
AUDI,Audi Allroad ,2.5 V6 TDI Quattro (180 PS)(Low & High Ratio Transmission),QM6,2496,Diesel,12.4,7.1,9.0,22.8,39.8,31.4,243,651,III,72.0,0.1,0.4,,0.4,0.0,20 March 2003,
AUDI,Audi Allroad ,2.5 V6 TDI Quattro (180 PS),QA5,2496,Diesel,13.5,7.6,9.7,20.9,37.2,29.1,262,703,III,71.0,0.1,0.4,,0.4,0.0,20 March 2003,
AUDI,Audi Allroad ,2.7 V6 Turbo Quattro (250 PS)(Low & High Ratio) up to 2002,QM6,2671,Petrol,18.1,9.9,12.9,15.6,28.5,21.9,310,897,III,73.0,1.0,,0.1,0.1,,20 March 2003,
AUDI,Audi Allroad ,2.7 V6 Turbo Quattro Tiptronic (250 PS) up to December 2002,QA5,2671,Petrol,19.4,9.9,13.4,14.6,28.5,21.1,322,931,III,70.0,1.0,,0.2,0.1,,23 May 2003,
AUDI,Audi RS4,2.7 V6 Quattro (380 PS),QM6,2671,Petrol,17.0,9.0,12.0,16.6,31.4,23.5,288,836,III,70.0,0.4,,0.1,0.1,,20 March 2003,
AUDI,A6 Saloon RS6,4.2 V8 Quattro (450 PS),QA5,4172,Petrol,21.8,10.4,14.6,13.0,27.2,19.3,350,1018,III,74.0,0.9,,0.1,0.1,,20 March 2003,
AUDI,A6 Avant RS6,4.2 V8 Quattro (450 PS),QA5,4172,Petrol,21.8,10.4,14.6,13.0,27.2,19.3,350,1018,III,74.0,0.9,,0.1,0.1,,20 March 2003,
AUDI,Audi 'S' Series,S6 4.2 V8 Quattro Avant Tiptronic (340 PS),QA5,4172,Petrol,22.0,10.3,14.5,12.8,27.4,19.5,348,1007,III,74.0,1.0,,0.1,0.1,,20 March 2003,
AUDI,Audi 'S' Series,S8 4.2 Quattro Tiptronic (360 PS) (until 10/2002),QA5,4172,Petrol,22.2,9.8,14.3,12.7,28.8,19.8,343,992,III,74.0,0.9,,0.1,0.0,,20 March 2003,
AUDI,Audi 'S' Series,S3 1.8T Quattro (225 PS),QM6,1781,Petrol,13.2,7.1,9.4,21.4,39.8,30.1,226,652,III,71.0,1.4,,0.1,0.1,,20 March 2003,
AUDI,Audi 'S' Series,S6 4.2 V8 Quattro Saloon Tiptronic (340 PS),QA5,4172,Petrol,21.9,10.2,14.4,12.9,27.7,19.6,346,1002,III,74.0,1.0,,0.1,0.1,,20 March 2003,
