Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
DAEWOO CARS,Leganza,2.0 SX (DOHC),M5,1998,Petrol,13.0,7.1,9.2,21.7,39.8,30.7,237,666,II,72.4,1.010,0.260,,,
DAEWOO CARS,Leganza,2.0 SX (DOHC),A4,1998,Petrol,15.8,7.5,10.5,17.9,37.7,26.9,282,760,II,71.9,1.150,0.310,,,
DAEWOO CARS,Leganza,2.0 CDX (DOHC),M5,1998,Petrol,13.0,7.1,9.2,21.7,39.8,30.7,237,666,II,72.4,1.010,0.260,,,
DAEWOO CARS,Leganza,2.0 CDX (DOHC),A4,1998,Petrol,15.8,7.5,10.5,17.9,37.7,26.9,282,760,II,71.9,1.150,0.310,,,
DAEWOO CARS,Korando,2.3 P,M5,2295,Petrol,13.8,8.2,10.2,20.5,34.4,27.7,271,739,II,73.7,0.540,0.130,,,
DAEWOO CARS,Korando,2.3P,A4,2295,Petrol,14.8,9.9,11.6,19.1,28.5,24.3,309,842,II,72.0,0.630,0.180,,,
DAEWOO CARS,Korando,2.9 TD,M5,2874,Diesel,12.8,8.0,9.8,22.1,35.3,28.8,258,739,II,74.3,0.800,0.660,,,0.130
DAEWOO CARS,Musso,2.3 P,M5,2295,Petrol,16.2,9.7,12.1,17.4,29.1,23.3,282,878,II,74.0,0.650,0.206,,,
DAEWOO CARS,Musso,2.3 P (BTRA T/M),A4,2295,Petrol,17.4,11.3,13.5,16.2,25.0,20.9,313,979,II,73.4,0.780,0.310,,,
DAEWOO CARS,Musso,2.3 P (Benz T/M),A4,2295,Petrol,16.6,10.8,12.9,17.0,26.1,21.9,303,934,II,71.4,0.778,0.310,,,
DAEWOO CARS,Musso,2.9 TD,M5,2874,Diesel,12.0,7.6,9.2,23.5,37.2,30.7,245,693,II,75.0,0.570,0.880,,,0.140
DAEWOO CARS,Musso,2.9 TD,A4,2874,Diesel,14.2,9.1,11.0,19.9,31.0,25.7,290,828,II,74.0,0.678,0.950,,,0.142
DAIHATSU,Charade,"Charade G200 Hatchback, 1.3L EFi",A4,1296,Petrol,10.2,5.9,7.5,27.7,47.9,37.7,180,543,II,69.0,1.188,0.253,,,
DAIHATSU,Charade,"Charade G200 Hatchback, 1.3L EFi",M5,1296,Petrol,8.9,5.6,6.8,31.7,50.4,41.5,164,493,II,71.0,1.097,0.242,,,
DAIHATSU,Four Wheel Drive,Fourtrak LWB 2.8L Diesel Turbo,M5,2765,Diesel,10.8,8.3,9.2,26.2,34.0,30.7,244,693,II,70.0,0.640,0.985,,,0.122
DAIHATSU,Grand Move,Grand Move G301 1.6L EFi,M5,1590,Petrol,10.2,6.2,7.6,27.7,45.6,37.2,181,550,II,71.6,0.961,0.234,,,
DAIHATSU,Grand Move,Grand Move G301 1.6L EFi,A4,1590,Petrol,11.2,6.5,8.2,25.2,43.4,34.4,195,595,II,71.2,0.736,0.224,,,
DAIHATSU,Cuore,Cuore L701 1.0L EFi,M5,989,Petrol,6.5,4.6,5.3,43.5,61.4,53.3,127,384,II,70.1,0.461,0.072,,,
DAIHATSU,Cuore,Cuore L701 1.0L EFi,A3,989,Petrol,7.9,5.9,6.6,35.7,47.9,42.8,157,478,II,70.3,0.696,0.131,,,
DAIHATSU,Sirion,Sirion M100 1.0L EFi,M5,989,Petrol,6.6,4.8,5.5,42.8,58.8,51.4,132,398,II,70.9,0.269,0.045,,,
DAIHATSU,Sirion,Sirion M100 1.0L EFi,A4,989,Petrol,7.8,5.5,6.3,36.2,51.4,44.8,151,457,II,68.6,0.697,0.103,,,
DAIHATSU,Terios,Terios J100 1.3L EFi,M5,1296,Petrol,11.1,7.3,8.7,25.4,38.7,32.5,205,629,II,71.8,1.237,0.241,,,
DAIHATSU,Terios,Terios J100 1.3L EFi,A4,1296,Petrol,11.6,8.1,9.4,24.3,34.9,30.0,222,682,II,68.5,0.986,0.176,,,
FIAT,Seicento Range,S/SX,M5,899,Petrol,7.9,5.1,6.1,35.8,55.4,46.3,145,442,II,74.0,0.658,0.220,,,
FIAT,Seicento Range,Sporting,M5,1108,Petrol,8.5,4.9,6.2,33.2,57.6,45.6,148,449,II,73.0,0.814,0.209,,,
FIAT,Seicento Range,Sporting Abarth,M5,1108,Petrol,8.7,5.0,6.4,32.5,56.5,44.1,151,464,II,74.0,1.457,0.275,,,
FIAT, Punto Range,1.2,M5,1242,Petrol,7.3,4.8,5.7,38.7,58.9,49.6,136,412,II,71.5,0.152,0.142,,,
FIAT, Punto Range,1.2 16v,M5,1242,Petrol,7.6,5.0,6.0,37.2,56.5,47.1,142,434,II,72.5,0.316,0.074,,,
FIAT, Punto Range,Sporting,M6,1242,Petrol,7.6,5.0,6.0,37.2,56.5,47.1,142,434,II,72.0,0.457,0.119,,,
FIAT, Punto Range,Sporting Speedgear,CVT,1242,Petrol,8.7,5.6,6.7,32.5,50.4,42.2,159,485,II,72.0,0.329,0.103,,,
FIAT, Punto Range,HGT,M5,1747,Petrol,11.5,6.4,8.3,24.6,44.1,34.0,197,602,II,72.0,0.892,0.329,,,
FIAT, Punto Range,D,M5,1910,Diesel,7.2,4.8,5.7,39.2,58.9,49.6,150,429,II,72.5,0.175,0.447,,,0.028
FIAT, Punto Range,JTD,M5,1910,Diesel,6.6,4.0,4.9,42.8,70.6,57.6,130,369,II,72.0,0.347,0.583,,,0.071
FIAT,Bravo Range,80 16v,M5,1242,Petrol,9.4,5.3,6.8,30.1,53.3,41.5,162,493,II,71.5,0.629,0.210,,,
FIAT,Bravo Range,100 16v,M5,1581,Petrol,10.6,6.0,7.7,26.6,47.1,36.7,183,557,II,72.0,0.306,0.248,,,
FIAT,Bravo Range,115 16v,M5,1747,Petrol,11.3,6.5,8.3,25.0,43.5,34.0,197,602,II,73.5,0.613,0.338,,,
