Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
FORD,New Fiesta,1.4i 16V 3 Door (15/16 inch tyre),ASM  ,1388,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,157,459,IV,71.0,0.4,,0.1,0.0,,19 March 2003,
FORD,Fusion,Fusion 1 - 1.4i 5 door (15 inch tyres),ASM  ,1388,Petrol,8.3,5.4,6.4,34.0,52.3,44.1,153,445,IV,71.0,0.4,,0.1,0.0,,08 April 2003,
FORD,Fusion,Fusion 2 & 3 - 1.4i  5 door (15 inch tyre),ASM  ,1388,Petrol,8.5,5.5,6.6,33.2,51.4,42.8,157,459,IV,71.0,0.4,,0.1,0.0,,08 April 2003,
FORD,Fusion,Fusion 2 &amp; 3 - 1.4i  5 door (16 inch tyre),ASM  ,1388,Petrol,8.7,5.8,6.8,32.5,48.7,41.5,162,473,IV,71.0,0.4,,0.1,0.0,,08 April 2003,
FORD,Fusion,Fusion 1 - 1.4i - 5 door (16 inch tyres),ASM  ,1388,Petrol,8.6,5.6,6.7,32.1,50.4,42.2,159,465,IV,71.0,0.4,,0.1,0.0,,08 April 2003,
FORD,Fusion,"1.6i ""Fusion 1""",M5,1596,Petrol,9.0,5.3,6.6,31.4,53.3,42.8,157,459,IV,71.0,0.6,,0.1,0.0,,22 March 2002,
FORD,Fusion,"1.6i ""Fusion 2 & 3""",M5,1596,Petrol,9.0,5.4,6.7,31.4,52.3,42.2,160,465,IV,71.0,0.6,,0.1,0.0,,22 March 2002,
FORD,Puma,1.6i 16V,M5,1596,Petrol,9.5,6.0,7.3,29.7,47.1,38.7,171,507,IV,70.0,0.2,,0.0,0.0,,01 July 2001,
FORD,Focus,2.0i 16V 4 Door Saloon (15 inch tyre),A4,1988,Petrol,13.0,7.3,9.4,21.7,38.7,30.1,222,652,IV,72.0,0.7,,0.1,0.1,,21 November 2001,
FORD,Focus,2.0i 16V 5 Door Saloon/Estate (15 inch tyre),A4,1988,Petrol,13.1,7.3,9.4,21.6,38.7,30.1,222,652,IV,72.0,0.7,,0.1,0.1,,21 November 2001,
