Manufacturers,Model,Description,Line_2,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
MITSUBISHI,Colt Space Star,1.6 EQUIPPE,,A4,1584,Petrol,10.7,6.6,8.2,26.4,42.8,34.4,192,595,IV,73.0,0.275,,0.049,0.013
SEAT,Arosa,1.0 (50 bhp),,M5,999,Petrol,7.8,4.7,5.8,36.2,60.1,48.7,139,420,IV,73.0,0.272,,0.042,0.046
SEAT,Arosa,1.4  MPI Auto (60 bhp),,A4,1390,Petrol,10.0,6.1,7.5,28.2,46.3,37.7,180,543,IV,74.0,0.395,,0.066,0.011
SEAT,Arosa,1.4 16v Sport (100 bhp),,M5,1390,Petrol,9.4,5.2,6.7,30.1,54.3,42.2,161,485,IV,73.0,0.677,,0.083,0.035
SEAT,Ibiza,1.4 (60 bhp),,M5,1390,Petrol,9.0,5.4,6.7,31.4,52.3,42.2,161,485,IV,70.0,0.299,0.060,0.038,0.022
SEAT,Ibiza,1.6 (100 bhp),,M5,1595,Petrol,11.0,6.1,7.9,25.7,46.3,35.8,190,571,IV,73.0,0.592,0.119,0.061,0.058
SEAT,Leon,1.4 S 16V (75 bhp),,M5,1390,Petrol,9.1,5.5,6.8,31.0,51.4,41.5,163,493,IV,72.0,0.121,,0.040,0.074
SEAT,Leon,1.6 S (105 bhp),,M5,1598,Petrol,9.6,5.7,7.1,29.4,49.6,39.8,170,514,IV,71.0,0.353,,0.061,0.032
SEAT,Leon,1.8 Cupra 20VT (180 bhp),,M6,1781,Petrol,11.8,6.6,8.5,23.9,42.8,33.2,204,616,IV,73.0,0.679,,0.060,0.043
SEAT,Toledo,V5 (170 bhp),,M5,2324,Petrol,12.5,6.7,8.8,22.6,42.2,32.1,211,637,IV,73.0,0.460,,0.058,0.048
SEAT,Alhambra,1.8 20V Turbo S & SE Models (150 bhp),,M6,1781,Petrol,13.1,7.4,9.5,21.6,38.2,29.7,228,689,IV,74.0,0.545,,0.061,0.017
SEAT,Alhambra,1.8 20V Turbo SE Tiptronic (150 bhp),,A5,1781,Petrol,14.5,8.4,10.6,19.5,33.6,26.6,254,769,IV,70.0,0.348,,0.091,0.050
SEAT,Alhambra,2.0 S (115 bhp),,M6,1984,Petrol,13.0,7.6,9.6,21.7,37.2,29.4,230,696,IV,74.0,0.814,,0.067,0.070
SEAT,Alhambra,2.8 V6 Sport (204 bhp),,M6,2792,Petrol,14.8,8.5,10.8,19.1,33.2,26.2,259,781,IV,73.0,0.280,,0.071,0.059
SKODA,Fabia Hatch,1.4 MPI Classic & Comfort Models (68 bhp),,M5,1397,Petrol,9.8,5.6,7.2,28.8,50.4,39.2,173,522,IV,72.0,0.772,,0.084,0.049
SKODA,Fabia Hatch,"1.4 16V Classic, Comfort & Elegance Models (75 bhp)",,A4,1390,Petrol,10.3,5.9,7.5,27.4,47.9,37.7,180,543,IV,72.0,0.199,,0.080,0.055
SKODA,Fabia Hatch,1.4 16V Comfort  & Elegance Models (100 bhp),,M5,1390,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,514,IV,73.0,0.615,,0.089,0.020
SKODA,Fabia Hatch,2.0 MPI Elegance (115 bhp),,M5,1984,Petrol,11.1,5.9,7.8,25.4,47.9,36.2,187,565,IV,74.0,0.634,,0.055,0.046
SKODA,Fabia Estate,1.4 MPI Classic & Comfort Models (68 bhp),,M5,1397,Petrol,9.8,5.6,7.2,28.8,50.4,39.2,173,522,IV,72.0,0.772,,0.084,0.049
SKODA,Fabia Estate,"1.4 16V Classic, Comfort & Elegance Models (75 bhp)",,A4,1390,Petrol,10.4,6.0,7.6,27.2,47.1,37.2,182,550,IV,72.0,0.199,,0.080,0.055
SKODA,Fabia Estate,1.4 16V Comfort & Elegance Models (100 bhp),,M5,1390,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,514,IV,73.0,0.615,,0.089,0.020
