Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
BMW,3 Series E46,316 ti Compact,M5,1796,Petrol,9.7,5.3,6.9,29.1,53.3,40.9,167,480,III,73.0,0.760,,0.103,0.059
BMW,3 Series E46,316 ti Compact,A5,1796,Petrol,10.4,6.0,7.6,27.2,47.1,37.2,183,528,III,72.0,0.865,,0.163,0.054
BMW,3 Series E46,318 ti Compact,M5,1995,Petrol,10.2,5.5,7.2,27.7,51.4,39.2,175,501,III,73.0,0.852,,0.102,0.050
BMW,3 Series E46,318 ti Compact,A5,1995,Petrol,11.0,6.1,7.9,25.7,46.3,35.8,191,549,III,74.0,0.811,,0.120,0.053,
BMW,3 Series E46,320 td Compact,M5,1995,Diesel,7.6,4.4,5.5,37.2,64.2,51.4,148,398,III,74.0,0.101,0.400,,0.377,0.037
BMW,3 Series E46,320 td Compact,A5,1995,Diesel,9.7,5.4,6.9,29.1,52.3,40.9,185,500,III,73.0,0.203,0.406,,0.375,0.036
BMW,3 Series E46,325 ti Compact,M5,2494,Petrol,12.3,7.0,8.9,23.0,40.4,31.7,215,620,III,73.0,0.494,,0.079,0.017,
BMW,3 Series E46,325 ti Compact,A5,2494,Petrol,13.5,7.3,9.5,20.9,38.7,29.7,227,661,III,71.0,0.255,,0.086,0.013,
BMW,3 Series E46,318 Ci Coupé,M5,1995,Petrol,10.2,5.5,7.2,27.7,51.4,39.2,175,501,III,73.0,0.852,,0.102,0.050,
BMW,3 Series E46,318 Ci Coupé,A5,1995,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,196,563,III,74.0,0.811,,0.120,0.053,
BMW,3 Series E46,320 Ci Coupé,M5,2171,Petrol,12.2,6.9,8.9,23.2,40.9,31.7,213,620,III,74.0,0.765,,0.097,0.015,
BMW,3 Series E46,320 Ci Coupé,A5,2171,Petrol,13.1,7.3,9.4,21.6,38.7,30.1,226,652,III,73.0,0.498,,0.105,0.014,
BMW,3 Series E46,325 Ci Coupé,M5,2494,Petrol,12.8,6.9,9.0,22.1,40.9,31.4,217,625,III,73.0,0.494,,0.079,0.017,
BMW,3 Series E46,325 Ci Coupé,A5,2494,Petrol,13.5,7.2,9.5,20.9,39.2,29.7,229,661,III,72.0,0.255,,0.086,0.013,
BMW,3 Series E46,330 Ci Coupé,M5,2979,Petrol,12.8,6.9,9.1,22.1,40.9,31.0,218,634,III,74.0,0.269,,0.048,0.009,
BMW,3 Series E46,330 Ci Coupé,A5,2979,Petrol,14.0,7.0,9.6,20.2,40.4,29.4,230,668,III,74.0,0.447,,0.062,0.013,
BMW,3 Series E46,M3 Coupé,M6,3246,Petrol,17.8,8.4,11.9,15.9,33.6,23.7,287,829,III,75.0,0.779,,0.125,0.031,
BMW,3 Series E46,318 Ci Convertible,M5,1995,Petrol,10.7,6.0,7.7,26.4,47.1,36.7,187,535,III,73.0,0.852,,0.102,0.050,
